"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"1563","1563","010900020305","MA","Mattapoisett River-Frontal Buzzards Bay",127.21,31434.61,"MA"
"1559","1559","010900020306","MA","Buzzards Bay",412.15,101843.79,"MA"
"1562","1562","010900020401","MA","Acushnet River",157.3,38869.27,"MA"
"1554","1554","010900020402","MA","Paskamanset River",110.7,27354.89,"MA"
"15482","15482","010900020403","MA","Outlet Buzzards Bay",207.19,51198.41,"MA"
"1560","1560","010900020501","MA","Noquochoke Lake",72.12,17820.83,"MA"
"1558","1558","010900020502","MA,RI","Westport River",146.07,36094.27,"MA"
"15581","1558","010900020502","MA,RI","Westport River",146.07,36094.27,"MA"
"1555","1555","010900020503","MA,RI","Cold Brook-Frontal Rhode Island Sound",50.72,12534.29,"MA"
"15551","1555","010900020503","MA,RI","Cold Brook-Frontal Rhode Island Sound",50.72,12534.29,"MA"
"1551","1551","010900020504","MA,RI","Horseneck Beach-Rhode Island Sound",160.93,39767.1,"MA"
"15511","1551","010900020504","MA,RI","Horseneck Beach-Rhode Island Sound",160.93,39767.1,"MA"
"15478","15478","010900020601","MA","Martha's Vineyard-Vineyard Sound",831.38,205438.44,"MA"
"1550","1550","010900020602","MA","Martha's Vineyard-Atlantic Ocean",414,102302.62,"MA"
"1549","1549","010900020700","MA","Nantucket Island-Nantucket Sound",952.17,235285.41,"MA"
"15515","15515","010900030101","MA","Kettle Brook",84.39,20854.4,"MA"
"80634","80634","010900030102","MA","Tatnuck Brook-Blackstone River",100.4,24810.01,"MA"
"8252","8252","010900030103","MA","Quinsigamond River",97.99,24213.01,"MA"
"15517","15517","010900030104","MA","Mumford River",145.5,35953.6,"MA"
"80635","80635","010900030105","MA","Singletary Brook-Blackstone River",103.09,25473.5,"MA"
"15531","15531","010900030201","MA","West River",95.92,23701.8,"MA"
"15518","15518","010900030202","MA,RI","Clear River",117.32,28990.35,"MA"
"155181","15518","010900030202","MA,RI","Clear River",117.32,28990.35,"MA"
"15306","15306","010900030204","MA,RI","Branch River",68.87,17019.08,"MA"
"153061","15306","010900030204","MA,RI","Branch River",68.87,17019.08,"MA"
"80722","80722","010900030205","MA,RI","Mill River",88.97,21986.05,"MA"
"807221","80722","010900030205","MA,RI","Mill River",88.97,21986.05,"MA"
"80723","80723","010900030206","MA,RI","Emerson Brook-Blackstone River",88.74,21927.03,"MA"
"807231","80723","010900030206","MA,RI","Emerson Brook-Blackstone River",88.74,21927.03,"MA"
