"","X","huc12","states","name","areasqkm","areaacres"
"22585","22585","020200070201","NJ,NY","Upper Wawayanda Creek",97.97,24208.4
"22586","22586","020200070202","NJ,NY","Lower Wawayanda Creek",76.05,18792.61
"22587","22587","020200020204","NY","Hamilton Lake Stream-West Branch Sacandaga River",94.25,23290.88
"22588","22588","020200020103","NY","Stewart Creek-East Branch Sacandaga River",68.86,17016.15
"22589","22589","020200020202","NY","Piseco Outlet",160.41,39637.88
"22590","22590","020200020203","NY","North Branch West Branch Sacandaga River-West Branch Sacandaga River",164.6,40674.27
"22591","22591","020200020301","NY","Hatchery Brook-Sacandaga River",54.24,13402
"22592","22592","020200020304","NY","Robbs Creek-Sacandaga River ",62.19,15366.81
"22593","22593","020200020305","NY","Dunning Creek-Sacandaga River",57.34,14169.9
"22595","22595","020200020306","NY","Mill Creek-Sacandaga River",69.71,17225.06
"22596","22596","020200020307","NY","Doig Creek-Sacandaga River",88.76,21932.87
"22597","22597","020200020504","NY","Wilcox Outlet-East Stony Creek",51.22,12657.78
"22598","22598","020200020402","NY","Holmes Lake Outlet",36.67,9060.79
"22599","22599","020200020601","NY","Frenchman Creek-Sacandaga River",33.9,8375.77
"22600","22600","020200020404","NY","Chase Lake Outlet-West Stony Creek",54.68,13511.37
"22602","22602","020200020405","NY","Hatch Brook-West Stony Creek",38.63,9546.82
"22605","22605","020200020401","NY","West Stony Creek",33.59,8301.29
"22606","22606","020200020602","NY","Kennyetto Creek-Sacandaga River",139.65,34507.73
"22607","22607","020200020606","NY","Hunters Creek-Sacandaga River ",87.89,21717.61
"22608","22608","020200020603","NY","Cranberry Creek-Sacandaga River",33.82,8358.03
"22609","22609","020200020604","NY","Hans Creek-Sacandaga River ",83.89,20730.59
"22610","22610","020200020605","NY","Mayfield Creek-Sacandaga River ",131.45,32481.78
"22611","22611","020200020705","NY","Bell Brook-Sacandaga River",168.92,41740.38
"22612","22612","020200020706","NY","Breen Brook-Sacandaga River",35.08,8667.52
"22613","22613","020200030401","NY","Upper Kayaderosseras Creek",85.98,21246.54
"22614","22614","020200030403","NY","Middle Kayaderosseras Creek",64.25,15875.93
"22615","22615","020200030406","NY","Lower Kayaderosseras Creek",128.12,31658.75
"22616","22616","020200030503","NY","Old Champlain Canal",58.21,14383.75
"22617","22617","020200031005","NY","Tomhannock Creek",81.91,20239.27
"22618","22618","020200031104","NY","Mill Hollow Brook-Hudson River",122.49,30266.75
"22619","22619","020200040301","NY","Hurlbut Glen Brook-Mohawk River",25.35,6263.51
"22620","22620","020200031107","NY","Troy Reservoir-Hudson River",25.24,6238.06
"22621","22621","020200040101","NY","West Branch Mohawk River",89.11,22020.71
"22623","22623","020200040105","NY","Delta Reservoir-Mohawk River",67.34,16639.83
"22625","22625","020200040303","NY","Sixmile Creek",52.98,13091.98
"22627","22627","020200040304","NY","Upper Ninemile Creek",61.49,15194.25
"22628","22628","020200040305","NY","Middle Ninemile Creek",47.66,11777.78
"22629","22629","020200040306","NY","Lower Ninemile Creek",76.48,18899.48
"22630","22630","020200040307","NY","Old Erie Canal-Mohawk River",22.16,5477
"27673","27673","050100010406","NY","Oil Creek",95.68,23642.45
"27674","27674","020501040402","NY","Headwaters Canisteo River",84.54,20889.06
"27675","27675","041300020601","NY","Black Creek-Genesee River",80.16,19809.15
"27676","27676","041300020903","NY","Bennett Creek-Canaseraga Creek",106.6,26340.24
"27677","27677","041300030302","NY","Honeoye Creek",87.55,21634.9
"27678","27678","041401010701","NY","Headwaters Irondequoit Creek",87.65,21657.69
"29822","29822","020501010603","NY","Ostego Lake-Susquehanna River",108.53,26819.22
"29844","29844","020501020106","NY","Lower East Branch Tioughnioga River",110.01,27184.1
"29845","29845","020501010906","NY","Shawler Book-Center Brook",60.49,14946.77
"29847","29847","020501020104","NY","Upper East Branch Tioughnioga River",58.28,14402.1
"29849","29849","020501020202","NY","Upper Little York Lake-West Branch Tioughnioga River",90.22,22292.67
"29851","29851","020501040802","NY,PA","North Fork Cowanesque River",56.06,13853.42
"29853","29853","020501040908","NY,PA","Lower Tioga River",105.45,26057.7
"29854","29854","020501040910","NY,PA","Outlet Tioga River",135.78,33551.7
"29855","29855","020501050606","NY","Wynkoop Creek",92.18,22778.17
"31379","31379","041401010102","NY","Eightmile Creek-Frontal Lake Ontario",60.37,14918.79
"31485","31485","041201020101","NY","Skim Lake-Clear Creek",83.17,20551.07
