"","X","huc12","states","name","areasqkm","areaacres"
"44928","44928","043001050306","VT","Lamoille River",134.3,33185.66
"44929","44929","043001010201","VT","Headwaters Mettawee River",113.5,28045.77
"44930","44930","043001010202","VT","Flower Brook",49.16,12147.05
"44931","44931","043001010301","VT","Headwaters Poultney River",96.5,23845.73
"44932","44932","043001010302","NY,VT","Finel Hollow Brook-Poultney River",99.08,24483.03
"44933","44933","043001010303","VT","Headwaters Castleton River",123.76,30580.76
"44934","44934","043001010304","NY,VT","Castleton River",133.34,32948.43
"44935","44935","043001070206","CN,VT","Leavit Brook-Missisquoi River",97.11,23995.32
"44944","44944","043001030403","VT","Great Brook-Winooski River",85,21004.17
"44946","44946","043001030302","VT","North Branch Winooski River",114.53,28301.26
"44947","44947","043001030401","VT","Headwaters Dog River",138.47,34217.11
"44949","44949","043001030402","VT","Dog River",102.28,25272.81
"44950","44950","043001030501","VT","Headwaters Mad River",102.61,25356.12
"44951","44951","043001030502","VT","Mill Brook-Mad River",98.61,24368.14
"44987","44987","043001080104","NY,VT","Charter Brook-Lake Champlain",164.76,40712.98
"44989","44989","043001080301","VT","East Creek",83.17,20552.03
"44992","44992","043001080304","NY,VT","McKenzie Brook-Lake Champlain",182.29,45043.58
"44998","44998","043001090302","CN,NY,VT","Little River-Richelieu River ",83.4,20609.54
"45000","45000","043001080402","VT","Outlet Little Otter Creek",71.01,17548.08
"45001","45001","043001080401","VT","Headwaters Little Otter Creek",117.62,29065.46
"45002","45002","043001080602","NY,VT","Hoisington Brook-Lake Champlain",250.65,61935.76
"45003","45003","043001080502","VT","Outlet Lewis Creek",106.91,26418.69
"45005","45005","043001080501","VT","Headwaters Lewis Creek",100.71,24885.23
"45008","45008","043001080801","VT","La Platte River",137.37,33945.32
"45010","45010","043001080802","VT","Munroe Brook-Shelburne Bay",52.72,13026.53
"45016","45016","043001080902","VT","Malletts Bay",136.81,33807.2
"45018","45018","043001070401","VT","Tyler Branch",149.87,37032.69
"45021","45021","043001070102","VT","Snider Brook-Missisquoi River",58.68,14501.24
"45023","45023","043001070403","VT","Goodsell Brook-Missisquoi River",53.77,13286.02
"45024","45024","043001081604","CN,NY,VT","Lake Champlain",922.87,228045.03
"45025","45025","043001070601","VT","McGowan Brook-Missisquoi River",64.58,15957.49
"45026","45026","043001030701","VT","Huntington River",172.08,42522.9
"45027","45027","043001030503","VT","Shepard Brook",44.55,11008.88
"45028","45028","043001030504","VT","Mad River",127.03,31389.91
"45029","45029","043001030601","VT","Graves Brook-Winooski River",104.17,25739.86
"45030","45030","043001030702","VT","Snipe Island Brook-Winooski River",152.08,37580.6
"45032","45032","043001030703","VT","Muddy Brook",55.1,13615.17
"45033","45033","043001030704","VT","Winooski River",127.78,31575.05
"45034","45034","043001050101","VT","Headwaters Lamoille River",152.32,37640.23
"45035","45035","043001050102","VT","Hardwick Lake Dam-Lamoille River",151.29,37384.01
"45036","45036","043001050103","VT","Wild Branch",102.06,25219.69
"45037","45037","043001050104","VT","Elmore Branch-Lamoille River",110.66,27343.76
"45038","45038","043001070301","VT","Headwaters Trout River",148.55,36708.69
"45039","45039","043001081203","CN,VT","Mud Creek",25.33,6259.62
"45041","45041","043001070402","VT","Enosburg Falls-Missisquoi River",74.84,18492.27
"45042","45042","043001070302","VT","Outlet Trout River",67.27,16623.29
"45044","45044","043001020402","VT","Lower Lemon Fair River",122.08,30166.63
"45045","45045","043001020501","VT","Dead Creek",157.31,38872.62
"45046","45046","043001020502","VT","Otter Creek",88.02,21749.64
"45048","45048","043001070104","VT","Jay Branch",62.27,15386.81
"45049","45049","043001081101","CN,VT","Rock River",143.9,35557.31
"45050","45050","043001030103","VT","Stevens Branch",83.68,20677.59
"45051","45051","043001030201","VT","Headwaters Winooski River",126.72,31312.94
"45052","45052","043001030202","VT","Nasmith Brook-Winooski River",166.24,41078.78
"45053","45053","043001030203","VT","Kingsbury Branch",137.42,33957.14
"45078","45078","043001070107","CN,VT","Beetle Brook-Missisquoi River",73.8,18235.5
"45079","45079","043001081001","CN,VT","Heawaters Pike River",109.38,27029.56
"45080","45080","043001070210","CN,VT","Lucas Brook-Missisquoi River",140.54,34729.29
"45081","45081","043001081005","CN,VT","Groat Creek",83.68,20678.44
"45082","45082","043001070106","CN,VT","Mud Creek",104.15,25735.82
"45083","45083","043001081102","CN,VT","Carman Brook-Missisquoi Bay",185.77,45905.24
"45084","45084","043001070209","CN,VT","Outlet Sutton River",73.9,18260.01
"45092","45092","043001010306","VT","Hubbardton River",114.77,28361.28
"45093","45093","043001010307","NY,VT","Poultney River-Head of Lake Champlain",110.56,27319.4
"45094","45094","043001020101","VT","Headwaters Otter Creek",87.89,21717.05
"45095","45095","043001010305","NY,VT","Mud Brook-Poultney River",40.24,9943.97
"45096","45096","043001020102","VT","Big Branch",67.42,16660.01
"45097","45097","043001020103","VT","Homer Stone Brook-Otter Creek",130.66,32286.97
"45098","45098","043001020104","VT","Headwaters Mill Creek",68.16,16841.83
"45099","45099","043001020105","VT","Mill Creek",116.34,28748.01
"45100","45100","043001020106","VT","Cold River",94.78,23421.55
"45101","45101","043001020107","VT","East Creek",158.94,39274.56
"45102","45102","043001020108","VT","Clarendon River",122.61,30296.42
"45103","45103","043001020109","VT","Moon Brook-Otter Creek",100.41,24812.85
"45104","45104","043001020201","VT","Headwaters New Haven River",128.02,31635.33
"45105","45105","043001020202","VT","Baldwin Creek",46.97,11607.63
"45106","45106","043001020203","VT","New Haven River",126.12,31166.07
"45107","45107","043001020301","VT","Furnace Brook",114.71,28346.12
"45108","45108","043001020302","VT","Bresee Mill Brook-Otter Creek",90.61,22391.09
"45109","45109","043001020306","VT","Middlebury River",162.66,40193.06
"45110","45110","043001020303","VT","Neshobe River",52.04,12859.71
"45111","45111","043001020304","VT","Willow Brook-Otter Creek",63.86,15781.2
"45112","45112","043001020305","VT","Leicester River",97.37,24060.44
"45113","45113","043001020307","VT","Pleasant Brook-Otter Creek",132.05,32631.45
"45114","45114","043001020401","VT","Upper Lemon Fair River",114.35,28255.39
"45115","45115","043001030101","VT","Headwaters Stevens Branch",89.45,22103.26
"45116","45116","043001030102","VT","Jail Branch",125.26,30953
"45117","45117","043001030204","VT","Sodom Pond Brook-Winooski River",89.98,22235.69
"45118","45118","043001030301","VT","Headwaters North Branch Winooski River",87.05,21509.4
"45119","45119","043001081202","VT","Mill River",59.83,14783.56
