"","huc14","states","name","areasqkm","areaacres"
"4516","19010406020102","AK","Mount Watson-Grand Plateau Glacier",23.3,5756.52
"4517","19010406041102","AK","Topsy Creek",14.74,3642.29
"4518","19010406041203","AK","Lookout Glacier",24.06,5944.17
"4519","19010406041202","AK","Lower South Crillon Glacier",23.81,5883.61
"4520","19010406010402","AK","19010406010402-Bear Island",13.12,3243.22
"4521","19010406041304","AK","Steelhead Creek",10.78,2663.88
"4522","19010406041301","AK","19010406041301",4.03,995.06
"4523","19010406020103","AK","19010406020103-Grand Plateau Glacier",19.99,4940.75
"4524","19010406010304","AK","19010406010304",16.98,4194.67
"4525","19010406041305","AK","Mineral Creek-Frontal Gulf of Alaska",348.92,86220.56
"4526","19010406041302","AK","Boulder Creek",3.04,751.03
"4527","19010406020503","AK","19010406020503-Grand Plateau Glacier",113.69,28093.96
"4528","19010406020406","AK","19010406020406-Grand Plateau Glacier",25.84,6385.19
"4529","19010406020502","AK","19010406020502",6.61,1633.26
"4530","07140204050502","IL","Dales Twin Lakes-South Lake-Silver Creek",23.42,5787.75
"4531","19010406050101","AK","19010406050101-Mount Klooch",25.03,6184.07
"4532","19010406050203","AK","South Dome-La Perouse Glacier",12.32,3043.18
"4533","07140204050202","IL","Village of Livingston-Silver Creek ",31.3,7735.4
"4534","07140204050203","IL","Village of Livingston",31.52,7789.05
"4535","07140204050201","IL","Big Four Reservoir",25.98,6419.09
"4536","07140204050102","IL","Village of Binney-Silver Creek",21.15,5226.91
"4537","07140204050101","IL","Heeren Pond-Silver Creek",39.32,9717.03
"4538","07140204050304","IL","Village of Hamel-Silver Creek",24.44,6038.41
"4539","07140204050501","IL","Neudeckers Mountain",23.85,5892.85
"4540","07140204050402","IL","Willaredt Lake-Silver Creek",20.89,5162.61
"4541","07140204050604","IL","City of Troy-Silver Creek",14.84,3666.65
"4542","07140204050603","IL","07140204050603-Silver Creek",11.31,2795.59
"4543","07140101030303","IL","Little Canteen Creek",34.54,8536.14
"4544","19010406050202","AK","Middle Dome-La Perouse Glacier",43.78,10818.9
"4545","19010406050302","AK","South Dome-Finger Glacier",6.65,1642.64
"4546","19010406010102","AK","Lower South Fork Doame River",14.76,3648.15
"4547","07140204050401","IL","Grigsby Lake-Silver Creek",25.27,6245.47
"4548","07140204050903","IL","07140204050903-Silver Creek ",13.44,3320.28
"4549","07140204050905","IL","Hageman Creek-Silver Creek",43.13,10656.78
"4550","07140204050602","IL","Twin Lakes-Wendell Branch",16.25,4016.44
"4551","07140101030203","IL","Lower Canteen Creek",16.03,3961.18
"4552","07140101030302","IL","Canteen Creek-Cahokia Creek",23.92,5910.72
"4553","07140101030202","IL","Middle Canteen Creek",20.49,5063.62
"4554","07140101030301","IL","Schoolhouse Branch-Cahokia Creek",28.96,7157.16
"4555","07140101030104","IL","Burdick Branch-Cahokia Creek",13.66,3376.13
"4556","19010406020505","AK","19010406020505",10.52,2599.55
"4557","19010406050301","AK","Upper Finger Glacier",39.02,9641.25
"4558","19010406050403","AK","Kaknau Creek",25.4,6276.57
"4559","19010406050401","AK","19010406050401-Mount Marchainville",24.92,6156.87
"4560","19010406010203","AK","19010406010203",7.63,1885.5
"4561","19010406010403","AK","19010406010403-Bear Island",16.74,4137.08
"4562","07140101020504","IL","Sugar Creek",8.35,2062.6
"4563","07140101020703","IL","Cahokia Diversion Channel",15.8,3905.39
"4564","07140101020702","IL","Tower Lake-Cahokia Creek",21.55,5324.72
"4565","07140101020505","IL","Mooney Creek",16.04,3964.4
"4566","07140101020503","IL","Graney-Cahokia Creek",5.48,1355.16
"4567","07140101020502","IL","Quercus Grove-Cahokia Creek",23.41,5784.62
"4568","07140101020605","IL","Outlet Indian Creek",20.73,5122.34
"4569","07140101020604","IL","Lower Indian Creek",22.58,5578.54
"4570","07140101020501","IL","Lake Meadow-Cahokia Creek",13.71,3387.47
"4571","07140101020701","IL","Burroughs Branch-Cahokia Creek",18.25,4509.64
"4572","07140101020603","IL","Middle Indian Creek",18.51,4573.75
"4573","07140101020404","IL","Village of Worden-Cahokia Creek",24.62,6084.09
"4574","19010406050602","AK","19010406050602-De Langle Mountain",19.71,4869.36
"4575","19010406050601","AK","19010406050601-Mount Marchainville",20.82,5144.16
"4576","19010406020504","AK","19010406020504",20.75,5127.96
"4577","19010406030105","AK","19010406030105",10.57,2611.46
"4578","19010406030204","AK","19010406030204",18.32,4525.84
"4579","19010406030103","AK","19010406030103",13.67,3378.35
"4580","19010406040501","AK","19010406040501",28.57,7060.02
"4581","07140101020203","IL","White Rock Creek-Cahokia Creek",23.55,5820.33
"4582","07140101020303","IL","Lower Paddock Creek",28.59,7065.55
"4583","07140101020201","IL","Ginseng Creek-Cahokia Creek",18.44,4557.45
"4584","07140101020302","IL","Joulters Creek",15.94,3939.45
"4585","07140101020103","IL","Lower West Fork Cahokia Creek",17.05,4214.18
"4586","19010406060302","AK","19010406060302",4.64,1145.43
"4587","07140101020601","IL","Headwaters Indian Creek",20.79,5138.34
"4588","07140101020402","IL","Headwaters Sherry Creek",26.39,6521.89
"4589","07140101020401","IL","East Fork Sherry Creek",33.22,8208.11
"4590","19010406050701","AK","19010406050701-Middle Dome",9,2224.94
"4591","07140101020301","IL","Upper Paddock Creek",20.83,5147.93
"4592","07140101020102","IL","Village of Wilsonville",10.23,2527.7
"4593","07140101020101","IL","Upper West Fork Cahokia Creek",19.75,4881.43
"4594","19010406040301","AK","19010406040301",3.73,922.71
"4595","19010406050503","AK","19010406050503",34.91,8626.09
"4596","19010406040201","AK","Upper Desolation Glacier",16.26,4017.11
"4597","19010406040304","AK","19010406040304-Desolation Valley",24.85,6139.45
"4598","19010406050703","AK","Icy Point-Frontal Gulf of Alaska",210.46,52005.39
"4599","19010406040804","AK","Bald Mountain-North Crillon Glacier",17.63,4356.84
"4600","19010406030104","AK","Lower Sea Otter Glacier",32.85,8118.31
"4601","19010406030203","AK","19010406030203",18.19,4494.19
"4602","19010406060206","AK","Lower Dixon River",19.88,4911.66
"4603","19010406050501","AK","19010406050501",41.2,10181.96
"4604","19010406060202","AK","19010406060202-Brady Glacier",40.06,9899.12
"4605","19010404210402","AK","19010404210402",5.47,1352.45
"4606","19010406040701","AK","Portage Creek",15.4,3805.55
"4607","19010406040602","AK","Lower Echo Creek",13.97,3452.56
"4608","19010406060304","AK","Murk Bay-Frontal Graves Harbor",6.4,1581.03
"4609","19010406060204","AK","Middle Dixon River",17.34,4286.02
"4610","19010406030202","AK","19010406030202",21.67,5354
"4611","19010406030201","AK","19010406030201",33.31,8231.26
"4612","19010406060201","AK","19010406060201-Brady Glacier",57.6,14233.04
"4613","19010406040903","AK","South Billy Goat Mountain-Lituya Glacier",37.61,9293.68
"4614","19010406041003","AK","Fall Creek",5.47,1352.74
"4615","19010406041101","AK","19010406041101-Grassy Mountain",13.35,3297.69
"4616","19010406040403","AK","19010406040403",14.62,3612.79
"4617","19010406030301","AK","Clear Creek",15.54,3839.52
"4618","19010406040202","AK","Lower Desolation Glacier",24.25,5992
"4619","19010406040402","AK","19010406040402-Mount Escures",15.55,3841.36
"4620","19010406060306","AK","Graves Harbor-Frontal Gulf of Alaska",18.86,4659.95
"4621","19010406060301","AK","19010406060301",5.12,1265.26
"4622","19010406060303","AK","Annoksek Creek",10.53,2600.97
"4623","19010406050402","AK","19010406050402",5.31,1311.62
"4624","19010406041204","AK","Crillon River",30.03,7420.71
"4625","19010406041303","AK","Whale Creek",4.95,1223.35
"4626","19010406040302","AK","19010406040302",4.75,1173.8
"4627","19010406030106","AK","Sea Otter Creek",22.24,5494.8
"4628","19010406040303","AK","Mount Escures-Desolation Valley",27.56,6811.06
"4629","19010406010301","AK","19010406010301",5.35,1321.99
"4630","19010406060404","AK","Dicks Arm",12.07,2982.42
"4631","19010406050502","AK","19010406050502",24.98,6173.86
"4632","19010406060405","AK","Polka Peninsula-Frontal Gulf of Alaska",163.04,40288.87
"4633","19010406060401","AK","Dixon Harbor-Frontal Gulf of Alaska",24.43,6036.61
"4634","19010406040405","AK","19010406040405",5.57,1376.25
"4635","19010406050102","AK","Dagelet River",26.99,6669.59
"4636","19010406050204","AK","Outlet La Perouse Glacier",26.28,6493.06
"4637","19010406050303","AK","Lower Finger Glacier",19.95,4930.89
"4638","19010406040401","AK","19010406040401",34.53,8533.2
"4639","19010406040404","AK","19010406040404-Fairweather Glacier",110.17,27222.59
"4640","19010406050603","AK","Palma Bay",55.34,13673.86
"4641","19010406050702","AK","19010406050702-South Dome",4.16,1027.03
"4642","19010406040601","AK","Upper Echo Creek",17.69,4371.32
"4643","19010406040702","AK","Eagle Creek",20.22,4996.13
"4644","19010406040502","AK","Justice Creek",26.19,6471.13
"4645","19010406030205","AK","19010406030205",22.05,5447.53
"4646","19010406041005","AK","Lituya Bay",69.38,17144.35
"4647","19010406060205","AK","South Deception Lake",15.73,3887.14
"4648","19010406060305","AK","19010406060305",3.74,924.25
"4649","19010406060403","AK","19010406060403",14.31,3534.89
"4650","19010406041002","AK","Cascade Glacier",12.45,3076.89
"4651","19010406040803","AK","19010406040803-North Crillon Glacier",37.01,9144.73
"4652","19010406040902","AK","Mount Wilbur-Lituya Glacier",40.53,10016.33
