"","X","huc12","states","name","areasqkm","areaacres"
"155511","15551","011000060302","CT","Mill River-Frontal Long Island Sound",84.89,20977.3
"81071","81071","011000060303","CT","Rooster River-Frontal Long Island Sound",131.77,32562.09
"15112","15112","011000060401","CT,NY","Rippowam River-Frontal Stamford Harbor",96.58,23865.77
"15113","15113","011000060402","CT,NY","Mianus River-Frontal Cos Cob Harbor",90.14,22274.73
"15116","15116","011000060403","CT,NY","Byram River",77.44,19136.98
"15117","15117","011000060404","CT,NY","Fivemile River-Frontal Long Island Sound",108.16,26727.89
"99010","99010","011000060405","CT,NY","Horseneck Brook-Frontal Long Island Sound",94.83,23433.7
"15307","15307","011000070101","CT,RI","Upper Wood River",158.13,39073.51
"153071","15307","011000070101","CT,RI","Upper Wood River",158.13,39073.51
"80537","80537","011000070102","CT,RI","Lower Wood River",74.09,18308.97
"805371","80537","011000070102","CT,RI","Lower Wood River",74.09,18308.97
"15320","15320","011000070205","CT,RI","Tomaquag Brook-Pawcatuck River",147.71,36499.38
"153201","15320","011000070205","CT,RI","Tomaquag Brook-Pawcatuck River",147.71,36499.38
"80543","80543","011000070301","CT,RI","Ashaway River",72.16,17831.83
"805431","80543","011000070301","CT,RI","Ashaway River",72.16,17831.83
"15512","15512","011000070302","CT","Shunock River",42.84,10586.86
"12985","12985","011000070303","CT,RI","Outlet Pawcatuck River",41.06,10146.23
"129851","12985","011000070303","CT,RI","Outlet Pawcatuck River",41.06,10146.23
"37922","37922","020301010203","CT,NY","Middle East Branch Croton River",65.58,16203.98
"37923","37923","020301010204","CT,NY","Lower East Branch Croton River",67.77,16745.69
"55541","55541","020301010301","CT,NY","Titicus River",63.48,15686.7
"37918","37918","020301010303","CT,NY","Cross River",80.43,19873.76
"55540","55540","020301020101","CT,NY","Kensico Reservoir",37.94,9375.1
"8231","8231","020302030000","CT,NY,RI","Long Island Sound",3082.16,761618.25
"82311","8231","020302030000","CT,NY,RI","Long Island Sound",3082.16,761618.25
