"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"59144","59144","010500010502","ME","Little Tomah Stream",59.14,14614.25,"ME"
"59145","59145","010500010503","ME","Upper Tomah Stream",101.94,25188.74,"ME"
"59146","59146","010500010504","ME","Jim Brown Brook",63.05,15579.41,"ME"
"59147","59147","010500010505","ME","Middle Tomah Stream",60.36,14915.65,"ME"
"59148","59148","010500010506","ME","Lower Tomah Stream",55.12,13619.93,"ME"
"59203","59203","010500010601","ME","Little Musquash Stream",55.58,13733.04,"ME"
"59204","59204","010500010602","ME","Little River",82.16,20301.77,"ME"
"59205","59205","010500010603","ME","Clifford Stream",48.1,11886.33,"ME"
"59202","59202","010500010604","ME","Big Lake",134.2,33162.67,"ME"
"59241","59241","010500010605","ME","Huntley Brook",56.19,13883.89,"ME"
"59242","59242","010500010606","ME","Grand Falls Flowage",108.97,26926.87,"ME"
"59243","59243","010500010701","ME","Scott Brook",46.17,11408.07,"ME"
"39067","39067","010500010702","CN,ME","Trout Brook-Saint Croix River",92.46,22848.17,"ME"
"39068","39068","010500010705","CN,ME","Simsquish Brook-St. Croix River",80.88,19986.65,"ME"
"59244","59244","010500010706","ME","Millberry Brook",37.22,9196.5,"ME"
"37679","37679","010500010707","CN,ME","King Brook-Saint Croix River",71.2,17594.65,"ME"
"37680","37680","010500010708","CN,ME","Enoch Brook-Saint Croix River",54.29,13414.66,"ME"
"59245","59245","010500010801","ME","Wapsaconhagan Brook",56.18,13881.61,"ME"
"37681","37681","010500010802","CN,ME","Woodland Flowage-St. Croix River",64.34,15897.56,"ME"
"37678","37678","010500010804","ME","Stony Brook-Saint Croix River",37.84,9349.64,"ME"
"37682","37682","010500010806","CN,ME","Magurrewock Stream-Saint Croix River",102.58,25347.71,"ME"
"37656","37656","010500010809","ME","Elliot Mountain-Saint Croix River",30.44,7522.36,"ME"
"37683","37683","010500010810","CN,ME","Flowed Lands Ponds-Saint Croix River",109.07,26951.93,"ME"
"59246","59246","010500020101","ME","Pocomoonshine Lake",79.55,19656.67,"ME"
"59247","59247","010500020102","ME","Crawford Lake",123.01,30396.89,"ME"
"59248","59248","010500020103","ME","Seavey Stream",48.75,12045.32,"ME"
"23931","23931","010500020104","ME","Round Lake-East Machias River",129.1,31902.08,"ME"
"59249","59249","010500020201","ME","Barrows Lake-Northern Stream",82.75,20447.66,"ME"
"23932","23932","010500020202","ME","Rocky Lake-Rocky Lake Stream",73.65,18198.5,"ME"
"23933","23933","010500020203","ME","Hadley Lake-East Machias River",113.68,28089.72,"ME"
"58823","58823","010500020204","ME","Gardner Lake",127.5,31505.93,"ME"
"58825","58825","010500020205","ME","East Machias River",26.16,6463.35,"ME"
"58826","58826","010500020301","ME","Fifth Machias Lake-Fourth Machias Lake",169.89,41981.28,"ME"
"58827","58827","010500020302","ME","Third Machias Lake-First Machias Lake",117.7,29083.83,"ME"
"58828","58828","010500020401","ME","West Branch Machias River",128.81,31828.99,"ME"
"57661","57661","010500020402","ME","Crooked River",46,11367.85,"ME"
"57662","57662","010500020403","ME","Pembroke Stream-Machias River",91.83,22691.94,"ME"
"57663","57663","010500020501","ME","First Chain Lake",50.51,12480.42,"ME"
"23934","23934","010500020502","ME","Bog Lake-New Stream",86.95,21485.91,"ME"
"23935","23935","010500020503","ME","Old Stream",141.62,34995.3,"ME"
"57664","57664","010500020601","ME","Mopang Lake-Mopang Stream",170.3,42081.86,"ME"
"58888","58888","010500020602","ME","Peaked Mountain Pond-Machias River",112.1,27700.65,"ME"
"58889","58889","010500020603","ME","Middle River",33.06,8170.33,"ME"
"23832","23832","010500020604","ME","Outlet Machias River",141.49,34964.14,"ME"
"23826","23826","010500020701","ME","Holmes Stream-Frontal Machias Bay",118.86,29371.01,"ME"
"58890","58890","010500020702","ME","Islands of Machias Bay",9.03,2231.94,"ME"
