"","HUC_12","Pct_Land","Shape_Length","Shape_Area"
"316","010200020405",98.6496722985212,60811.286742865,81962181.6153331
"317","010200020406",94.7598095787651,52292.0235070308,74877273.530052
"318","010200020407",94.036290986983,65017.756239745,87382389.6923255
"319","010200020408",98.8817396689949,82443.7374022947,156943406.64889
"320","010200020501",94.3748705297452,38493.2534695617,47784801.3650648
"321","010200020502",99.3571709691996,116439.303214531,246970142.949028
"322","010200020503",99.4015548029557,41223.7542651847,46769610.3155468
"323","010200020504",99.984533804684,55047.0391272971,81471427.2860707
"324","010200020505",99.9883860028106,59714.9941801917,77494786.0131419
"325","010200020506",99.9814277423099,35983.5379365997,38767786.2022721
"326","010200020507",97.850638145193,128732.929315752,158023985.637206
"327","010200030101",93.4316265733714,39291.7875560538,68441412.9259609
"328","010200030102",99.9888078076734,38627.005067969,40204428.4727128
"329","010200030103",99.9797399966233,41174.6233473887,53302734.7880997
"330","010200030104",99.4517057248794,50640.8954517861,62867077.8625148
"331","010200030105",99.2504145173176,49194.2066241658,78157659.934345
"332","010200030106",99.6792076280582,40564.7580002479,60868499.6355658
"333","010200030107",99.9121926023702,108706.987216348,156821286.920633
"334","010200030108",98.2892634462211,51900.8219319828,74910493.0248346
"335","010200030109",99.8142494574613,76978.4368528673,97868645.8962402
"336","010200030110",99.9602570954789,51095.2612508638,65665958.6502718
"337","010200030111",74.0432179120021,40813.6438186285,55310944.5794242
"338","010200030112",100,57227.4106376651,87351704.2614176
"339","010200030113",98.0512837168515,56618.2712313838,55441532.7528199
"340","010200030201",99.8903535292458,57732.3081446297,111635298.085858
"341","010200030202",98.8279462819926,43103.1924341848,66875750.445892
"342","010200030203",61.1894024802706,21065.7826591413,19163154.0081416
"343","010200030204",99.1191691685845,60064.7952498426,77024500.9208651
"344","010200030205",98.4814027691056,103725.409827413,157116468.044364
"345","010200030301",99.9644483946228,63667.718537229,121521417.434489
"346","010200030302",99.964709515197,37486.0779854954,40801392.88894
"347","010200030303",98.8133813246686,75099.7252133155,100275821.261311
"348","010200030401",90.3756065383153,132786.515439207,322001723.827577
"349","010200030402",96.3467851187995,68885.8787871473,138160619.394198
"350","010200030403",91.5337023770759,55956.7163496052,77393002.1198949
"351","010200030404",99.9349546009664,51022.6435282516,67783172.6653013
"352","010200030501",92.186518406835,41949.2175531419,57311963.3207743
"353","010200030502",99.1949979129575,90714.3087853551,105639800.125363
"354","010200030503",99.9604282231566,79851.9780686905,127374219.011533
"355","010200030504",100,35489.7502535509,35278540.6868083
"356","010200030505",99.8259833134684,34076.9891313539,37748902.5145242
"357","010200030506",100,35927.5247582219,33130816.257485
"358","010200030507",99.9810975993951,33037.5849520519,28571603.2362628
"359","010200030508",99.9731561640158,38499.286204022,53636301.7512072
