OBJECTID_2019,OBJECTID_2015,TNMID_2019,TNMID_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC12_2019,HUC12_2015,NAME_2019,Name_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,TOHUC_2019,ToHUC_2015,NONCONTRIBUTINGAREAACRES_2019,NonContributingAcres_2015,NONCONTRIBUTINGAREASQKM_2019,NonContributingSqKm_2015
59350,41957,{48142D22-8624-474A-B16E-6CD95697F3A0},{48142D22-8624-474A-B16E-6CD95697F3A0},36296.48,36296,146.89,146.8848306,NY,NY,043001040202,041504040202,Upper  West Branch Ausable River,Upper  West Branch Ausable River,S,S,NM,NM,43001040203,41504040203,0,0,0,0
59351,41958,{24159533-218B-4BB4-A453-41B1582A8A44},{24159533-218B-4BB4-A453-41B1582A8A44},35478.27,35478,143.58,143.5744991,NY,NY,043001040203,041504040203,Middle West Branch Ausable River,Middle West Branch Ausable River,S,S,NM,NM,43001040206,41504040206,0,0,0,0
59352,41959,{05900FC8-C538-43F4-B526-A330B5218DA9},{05900FC8-C538-43F4-B526-A330B5218DA9},11805.03,11805,47.77,47.7731823,NY,NY,043001040204,041504040204,Outlet Taylor Pond,Outlet Taylor Pond,S,S,TF,TF,43001040205,41504040205,0,0,0,0
59353,41960,{01805D31-EF8C-4201-80AF-E33AE18BA6A0},{01805D31-EF8C-4201-80AF-E33AE18BA6A0},20133.29,20133,81.48,81.47543238,NY,NY,043001040205,041504040205,Black Brook,Black Brook,S,S,NM,NM,43001040206,41504040206,0,0,0,0
59354,41961,{3BD9CCF1-419C-4093-8424-E648BA9C8727},{3BD9CCF1-419C-4093-8424-E648BA9C8727},20817.72,20818,84.25,84.24753148,NY,NY,043001040206,041504040206,Lower West Branch Ausable River,Lower West Branch Ausable River,S,S,TF,TF,43001040301,41504040301,0,0,0,0
59355,41962,{1E9BD6DD-68EA-4B67-8314-272C92B86BBA},{1E9BD6DD-68EA-4B67-8314-272C92B86BBA},20054.83,20055,81.16,81.1597773,NY,NY,043001040301,041504040301,Palmer Brook-Ausable River,Palmer Brook-Ausable River,S,S,NM,NM,43001040302,41504040302,0,0,0,0
59356,41963,{893C32E5-B94B-4AA7-B55B-2EFC6787B581},{893C32E5-B94B-4AA7-B55B-2EFC6787B581},31630.17,31630,128,128.0021818,NY,NY,043001040302,041504040302,Ausable River,Ausable River,M,M,NM,NM,43001081604,41504081604,0,0,0,0
91958,73404,{2D006729-2FC0-4058-BEF9-92FE83A4350A},{2D006729-2FC0-4058-BEF9-92FE83A4350A},37640.23,37640,152.32,152.442,VT,VT,043001050101,041504050101,Headwaters Lamoille River,Headwaters Lamoille River,S,S,TF,TF,43001050102,41504050102,0,0,0,0
91959,73405,{52154FD7-5927-41F1-AB60-4F2D36FA8C01},{52154FD7-5927-41F1-AB60-4F2D36FA8C01},37384.01,37384,151.29,151.4052,VT,VT,043001050102,041504050102,Hardwick Lake Dam-Lamoille River,Hardwick Lake Dam-Lamoille River,S,S,"DM,IT,TF","DM,IT,TF",43001050104,41504050104,0,0,0,0
91960,73406,{A580DBDC-CD81-4FBE-964A-B3565EB82928},{A580DBDC-CD81-4FBE-964A-B3565EB82928},25219.69,25220,102.06,102.141,VT,VT,043001050103,041504050103,Wild Branch,Wild Branch,S,S,NM,NM,43001050104,41504050104,0,0,0,0
91961,73407,{54805341-0220-4276-8F5F-CBE39036EFA1},{54805341-0220-4276-8F5F-CBE39036EFA1},27343.76,27344,110.66,110.7432,VT,VT,043001050104,041504050104,Elmore Branch-Lamoille River,Elmore Branch-Lamoille River,S,S,DM,DM,43001050106,41504050106,0,0,0,0
91962,73408,{27523858-4AEF-4A76-B7C3-1C05BD35F591},{27523858-4AEF-4A76-B7C3-1C05BD35F591},12380.76,12381,50.1,50.14305,VT,VT,043001050105,041504050105,Green River,Green River,S,S,DM,DM,43001050106,41504050106,0,0,0,0
91963,73409,{010A7270-7DF4-4E84-8B6D-0849F41CFA95},{010A7270-7DF4-4E84-8B6D-0849F41CFA95},31697.34,31697,128.27,128.37285,VT,VT,043001050106,041504050106,Ryder Brook-Lamoille River,Ryder Brook-Lamoille River,S,S,NM,NM,43001050107,41504050107,0,0,0,0
91964,73410,{8BBED51D-1D88-4E38-AC0B-9720659BB051},{8BBED51D-1D88-4E38-AC0B-9720659BB051},26928.49,26928,108.98,109.0584,VT,VT,043001050107,041504050107,Kenfield Brook-Lamoille River,Kenfield Brook-Lamoille River,S,S,NM,NM,43001050303,41504050303,0,0,0,0
91965,73411,{92D4DB0D-C770-4484-A0BB-0BFA4FD8EB1A},{92D4DB0D-C770-4484-A0BB-0BFA4FD8EB1A},24629.99,24630,99.67,99.7515,VT,VT,043001050201,041504050201,Headwaters Browns River,Headwaters Browns River,S,S,NM,NM,43001050202,41504050202,0,0,0,0
91966,73412,{2C6CDB76-5427-44C5-875D-153FF3E1E1C7},{2C6CDB76-5427-44C5-875D-153FF3E1E1C7},34409.33,34409,139.25,139.35645,VT,VT,043001050202,041504050202,Browns River,Browns River,S,S,TF,TF,43001050306,41504050306,0,0,0,0
91967,73413,{62853E35-8DC7-4D5C-AC5D-1B13B36E3DFD},{62853E35-8DC7-4D5C-AC5D-1B13B36E3DFD},41496.09,41431,167.93,167.79555,VT,VT,043001050301,041504050301,Gihon River,Gihon River,S,S,NM,NM,43001050303,41504050303,0,0,0,0
91968,73414,{AEF979DB-44F4-431A-AEF8-47EB992B3B65},{AEF979DB-44F4-431A-AEF8-47EB992B3B65},38899.2,38908,157.42,157.5774,VT,VT,043001050302,041504050302,North Branch LaMoille River,North Branch LaMoille River,S,S,NM,NM,43001050303,41504050303,0,0,0,0
