TNMID_2019,TNMID_2015,LOADDATE_2019,LoadDate_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC10_2019,HUC10_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,NAME_2019,Name_2015
{CA230836-9F6B-4958-973F-A0184BE81D8A},{CA230836-9F6B-4958-973F-A0184BE81D8A},10/4/2019 10:49,10/24/2012 7:27,83162.87,83092,336.55,336.26,"CN,NY","CN,NY",0430020102,0415030802,S,S,,,Upper Chateaugay River,Upper Chateaugay River
{F74DA924-E762-4EEE-8466-B52AB4B41A9B},{F74DA924-E762-4EEE-8466-B52AB4B41A9B},10/22/2019 10:20,10/24/2012 7:27,100247.79,100702,405.69,407.53,"CN,NY","CN,NY",0430020103,0415030803,S,S,,,Trout River,Trout River
{A06CFCC9-294A-404F-986D-E58031D51792},{A06CFCC9-294A-404F-986D-E58031D51792},10/4/2019 10:49,10/24/2012 7:27,174992.79,182182,708.17,737.27,"CN,NY","CN,NY",0430020104,0415030804,S,S,,,English River,English River
{B1FD7568-A190-4F4C-8682-1C91477BCC98},{B1FD7568-A190-4F4C-8682-1C91477BCC98},10/4/2019 10:49,10/24/2012 7:27,120746.03,81661,488.64,330.47,"CN,NY",CN,0430020105,0415030805,S,S,,,Middle Chateaugay River,Middle Chateaugay River
{50EB4955-A4F7-462F-8218-11CA00FE141E},{50EB4955-A4F7-462F-8218-11CA00FE141E},10/4/2019 10:49,10/24/2012 7:27,70401.28,112137,284.9,453.8,CN,CN,0430020106,0415030806,S,S,,,Lower Chateaugay River,Lower Chateaugay River
{7AC6FCF6-81BE-49B1-B335-25CAC11B8B93},{7AC6FCF6-81BE-49B1-B335-25CAC11B8B93},10/4/2019 10:49,10/24/2012 7:27,112688.52,103815,456.03,420.12,CN,CN,0430020107,0415030807,F,S,,,Tortoise River-Frontal Saint Lawrence River,415030807
{499AF6F5-07A9-4F0E-8BCC-FDB328C54467},,10/4/2019 10:49,,87513.57,,354.16,,CN,,0430020201,,S,,,,Felton River,
{F74D2CC6-62DA-47CE-B833-BDB7292725FD},,10/4/2019 10:49,,88293.65,,357.31,,CN,,0430020202,,S,,,,Cornflower River,
{D958A568-B73C-409F-B6AD-0DAE2C6B8B6A},,10/4/2019 10:49,,123157.56,,498.4,,CN,,0430020203,,S,,,,Great Lake Saint Francois,
{862CBD59-A1CF-493D-9C48-E211DF8B9EAF},,10/4/2019 10:49,,253703.51,,1026.7,,"CN,ME,NH",,0430020204,,S,,,,Red River-Salmon River,
{D862F2E2-50A4-4051-8441-756E45A27160},,10/4/2019 10:49,,168175.67,,680.58,,CN,,0430020205,,S,,,,Duck River-Saint Francois River,
{80D82961-5A3E-4BA7-B5F4-D3EDC78BA052},,10/4/2019 10:49,,160306.28,,648.74,,"CN,NH",,0430020206,,S,,,,Eaton River,
