"","X","huc12","states","name","areasqkm","areaacres"
"22507","22507","100600060502","CN","Town of Big Beaver",147.08,36345.11
"22508","22508","100600060506","CN,MT","Outlet Beaver Creek",52.55,12985.85
"22518","22518","100600060505","CN,MT","West Beaver Creek-Beaver Creek",53.1,13121.43
"22695","22695","090100070903","CN","090100070903",117.08,28931.38
"22696","22696","090100031403","CN","Town of Storthoaks-Lightning Creek",58.56,14470.69
"22697","22697","090100070708","CN","Lower Jewel Creek",97.26,24034.37
"22698","22698","090100031105","CN","Outlet Auburnton Creek",111.89,27649.3
"22700","22700","090100080602","CN","090100080602",46.25,11428.52
"22701","22701","090100031206","CN","Town of Cantal-Antler River",120.75,29838.71
"22702","22702","090100060306","CN","Neptune Lake-Long Creek",156.48,38667.8
"22703","22703","090100080705","CN","090100080705",56.1,13862.19
"22704","22704","090100080307","CN","090100080307",117.54,29044.73
"22705","22705","090100080304","CN","090100080304",172.6,42650.34
"22707","22707","090100071003","CN","Town of Macoun",140.8,34792.19
"22708","22708","090100070906","CN","Dead Lake-Souris River",129.05,31889.42
"22709","22709","090100032103","CN","Middle Graham Creek",141.06,34857.8
"22710","22710","090100071306","CN","090100071306",75.57,18674.93
"22711","22711","090100031405","CN","Town of Nottingham",118.28,29227.3
"22763","22763","090100031407","CN","090100031407",121.9,30121.33
"22764","22764","090100071002","CN","090100071002",108.13,26718.75
"22765","22765","090100031104","CN","Lower Auburnton Creek",48.06,11875.59
"22766","22766","090100031904","CN","Town of Fertile",197.82,48881.17
"22767","22767","090100060305","CN","090100060305-Long Creek",107.44,26548.8
"22768","22768","090100070702","CN","Middle Jewel Creek",86.64,21408.3
"22769","22769","090100031402","CN","090100031402",56.25,13900.33
"22770","22770","090100070707","CN","Lower Roughbark Creek",89.6,22141.7
"22771","22771","090100080708","CN","090100080708-Moose Mountain Creek",119.15,29442.5
"22772","22772","090100071004","CN","Town of Midale",68.65,16963.09
"22773","22773","090100080706","CN","090100080706",127.3,31457.15
"22774","22774","090100031401","CN","Town of St Antoine-Lightning Creek",60.69,14997.62
"22775","22775","090100080303","CN","090100080303",188.16,46495.52
"22776","22776","090100080704","CN","090100080704-Moose Mountain Creek",54.13,13375.52
"22777","22777","090100032102","CN","Upper Graham Creek",126.86,31348.28
"22782","22782","090100070706","CN","Middle Roughbark Creek",82.77,20452.25
"22855","22855","090100070803","CN","090100070803",40.86,10097.84
"22891","22891","090100080702","CN","090100080702",80.89,19987.71
"22893","22893","090100070703","CN","Headwaters Roughbark Creek",43.96,10861.66
"22894","22894","090100070504","CN","090100070504",74.32,18365.81
"22895","22895","090100031102","CN","Upper Auburnton Creek",115.55,28552.41
